key,threshold,likelihood,evidence,mean_pet,var_pet,mean_resp,var_resp
prior,0,0.6634241245136187,0,0,0,0,0
p_interruptions,0.012903959945380072,0.05571847507331378,0.07003891050583658,0.007182827503225414,0.000009173767949005062,0.008133531444141006,0.000011118805122472465
p_words,103.9134873949579,0.09970674486803519,0.08560311284046693,67.19493674542932,743.1468902919888,61.03498737714158,481.1708712693099
p_times,0.02622899176485807,0.07917888563049853,0.09533073929961089,0.016981067113923942,0.00003442183848878665,0.018548683173060892,0.000045128952283830634
p_laughter,0,0.17888563049853373,0.19455252918287938,0.00009157736408180544,1.5773666452938053e-7,0.00008053422468627542,2.473526218137351e-8
p_num_counsel,1,0.3343108504398827,0.2918287937743191,1.3343108504398826,0.22254710571804476,1.2080924855491328,0.16479000300711738
p_num_int_by,6.029999999999995,0.36950146627565983,0.39299610894941633,5.92375366568915,1.6892011592607572,6.202312138728324,1.4214975441879123
r_interruptions,0.004420682302771856,0.8768328445747801,0.8404669260700389,0.008311394475474878,0.000014690147086411644,0.007781163588680187,0.000017173076951583506
r_words,176.7865909090907,0.005865102639296188,0.0038910505836575876,63.1989140012754,814.4881408652525,59.47561478250529,517.0879491458609
r_times,0.02377392581860781,0.187683284457478,0.19455252918287938,0.01824323545726491,0.00004908632119939198,0.01753100890003899,0.00006558688716665586
r_laughter,0.00022837567799029401,0.21700879765395895,0.25486381322957197,0.0000980973636821534,5.732174456449519e-8,0.00014786041565663212,6.555938395546092e-8
r_num_counsel,1,0.15835777126099707,0.21595330739299612,1.1612903225806452,0.14114085706177237,1.3410404624277457,0.24785325269805256
r_num_int_by,5.01,0.6920821114369502,0.669260700389105,6.035190615835777,1.4709023830204384,5.815028901734104,2.081392629222492
j_interruptions,0,0.9970674486803519,0.9961089494163424,0.004160323695418578,0.000006136729512812418,0.004358789938784444,0.000010089962856978711
j_words,75.52767857142857,0.5395894428152492,0.48443579766536965,80.87115554277486,492.73247435601445,72.51370533813086,301.0934685168113
j_times,0.06715912856553304,0.02346041055718475,0.029182879377431907,0.03766217364941051,0.0001528510077304809,0.03846082161023253,0.0002186759654410793
j_laughter,0.0023636882671995425,0.0469208211143695,0.04474708171206226,0.0007838904233714645,8.481716269743931e-7,0.0007938055074749723,6.211815716386816e-7
j_num,8.019999999999978,0.8093841642228738,0.7976653696498055,8.803519061583577,0.16960638453401597,8.763005780346822,0.2039493467873974
j_num_int_by,4.000000000000002,0.41055718475073316,0.4046692607003891,4.340175953079179,3.4150721098029804,4.254335260115607,3.345718199739382